InFileType,in_Wth,X.Do.not.change.this.input.file.type.name.,X,X.1,X.2
VersionNum,1.01,#Do not change this version number. There should be NO comma wthin any string (no comma in any cell if you open this file with a spreadsheet software),,,
#comments,,,,,
Year,DOY,Tmax,Tmin,Precip,NPP
2009,1,0.04,-11.35,0,0.00117301422329121
2009,2,-0.78,-5.02,0,0.00126994894028945
2009,3,-4.25,-12.54,0,0.00137434423198986
2009,4,-4.74,-15.35,0,0.00148672645833452
2009,5,-4.4,-11.23,0,0.00160765516023086
2009,6,-4.6,-11.75,0,0.00173772484132839
2009,7,-4.55,-9.48,0,0.00187756682237094
2009,8,-3.86,-12.23,0,0.00202785116939937
2009,9,-6.37,-15.75,0,0.00218928869696802
2009,10,-4.74,-16.3,0,0.00236263304741403
2009,11,-5.2,-15.35,0,0.00254868284708044
2009,12,-4.24,-15.08,0,0.00274828394024222
2009,13,-3.56,-14.83,0.11,0.00296233170131785
2009,14,-1.46,-10.3,0.31,0.00319177342576739
2009,15,1.6,-5.23,0,0.00343761079988066
2009,16,0.34,-7.65,0,0.00370090244944592
2009,17,-1.92,-10.95,0,0.00398276656705938
2009,18,0.82,-9.8,0.18,0.00428438361758872
2009,19,7.59,-3.71,0,0.00460699912103978
2009,20,4.18,-3.96,0.13,0.00495192651179312
2009,21,1.48,-0.68,0.85,0.00532055007287709
2009,22,2.23,-1.82,0,0.00571432794362552
2009,23,8.19,-4.63,0.61,0.0061347951987313
2009,24,5.48,-2.62,0,0.00658356699635113
2009,25,3.05,-4.77,0,0.00706234179254292
2009,26,2.98,-7.83,0,0.00757290461892388
2009,27,-0.98,-7.32,2.19,0.00811713042002595
2009,28,-1.79,-2.88,1.48,0.00869698744639533
2009,29,-1.76,-3.69,0.14,0.00931454069903434
2009,30,-2.49,-4.31,0,0.00997195542031824
2009,31,-2.24,-6.4,0,0.0106715006260361
2009,32,0.94,-7.2,0,0.0114155526727044
2009,33,6.71,-4.83,0,0.0122065988537868
2009,34,11,-0.48,0,0.0130472410179198
2009,35,4.7,-3.91,0,0.0139401992017009
2009,36,4.33,-5.4,0,0.014888315269033
2009,37,8.09,-5.08,0,0.01589455654845
2009,38,12.82,1.11,0.11,0.0169620194592632
2009,39,3.26,-0.96,1.66,0.0180939331167786
2009,40,1.32,-4.86,0,0.0192936629062305
2009,41,4.8,-6.03,0.21,0.0205647140144745
2009,42,4.45,-2.45,0.42,0.0219107349078696
2009,43,-1.58,-4.63,0.51,0.0233355207441634
2009,44,-3.87,-5.44,0.2,0.0248430167055843
2009,45,-2.4,-4.54,0,0.026437321239728
2009,46,-3.29,-7.59,0,0.0281226891942191
2009,47,-1.16,-9.24,1.32,0.0299035348305278
2009,48,-0.48,-6.89,1.86,0.031784434701727
2009,49,-6.61,-9.08,0.27,0.0337701303783974
2009,50,-5.67,-7.76,0,0.0358655310063225
2009,51,-2.52,-11.59,1.97,0.0380757156790681
2009,52,-0.15,-2.86,1.99,0.0404059356080166
2009,53,0.91,-1.17,2.15,0.0428616160719252
2009,54,0.65,-0.37,2.5,0.0454483581276042
2009,55,0.15,-1.92,0.78,0.0481719400628717
2009,56,2.92,-3.22,0,0.0510383185725333
2009,57,2.64,-4.71,1.42,0.0540536296377703
2009,58,1.78,0.49,2.46,0.0572241890889919
2009,59,5.64,0.59,0,0.0605564928319339
2009,60,6.55,-1.16,0,0.0640572167165503
2009,61,4.04,-2.27,0.52,0.0677332160280775
2009,62,4.17,-0.26,0,0.0715915245795265
2009,63,11.33,-2.51,0,0.0756393533848086
2009,64,7.78,0.73,0.14,0.0798840888917066
2009,65,2.74,0.05,0.78,0.0843332907539814
2009,66,1.22,-0.65,1.04,0.0889946891220579
2009,67,5.31,-0.96,0.57,0.0938761814319584
2009,68,3.63,-0.43,0.64,0.0989858286724602
2009,69,3.68,-0.22,1.04,0.104331851110842
2009,70,0.77,-0.66,1.14,0.109922623458063
2009,71,1.84,-0.46,2.35,0.115766669454775
2009,72,4.41,0.14,0.45,0.121872655860241
2009,73,8.71,-2.07,0,0.128249385826957
2009,74,4.73,0.11,1.02,0.134905791644657
2009,75,4.57,1.87,0.17,0.141850926838292
2009,76,4.82,0.65,0.28,0.149093957605648
2009,77,4.93,1.54,0.55,0.156644153581393
2009,78,3.91,-2.03,1.23,0.164510877915625
2009,79,-1.67,-4.22,0.24,0.172703576656307
2009,80,0.03,-4.21,0,0.181231767426469
2009,81,5.22,-9.88,0,0.190105027388609
2009,82,6.12,1.48,1.18,0.199332980490376
2009,83,5.44,-0.98,0.8,0.208925283987408
2009,84,1.46,-4.86,1.02,0.218891614241059
2009,85,2.52,-1.29,0.6,0.229241651790701
2009,86,6.76,0.07,0.18,0.239985065702382
2009,87,15.09,-0.74,0,0.251131497197753
2009,88,10.26,-0.57,2.63,0.262690542569437
2009,89,3.73,-0.99,0,0.274671735391343
2009,90,6.47,0.67,0,0.28708452803484
2009,91,14.88,-0.4,0,0.299938272504219
2009,92,14.76,0.24,0,0.313242200607391
2009,93,16.84,-0.45,0,0.327005403480453
2009,94,16.34,-0.45,0,0.341236810487379
2009,95,16.11,-0.31,0,0.355945167518883
2009,96,17.61,0.43,0,0.37113901471724
2009,97,18.31,0.23,0,0.386826663656687
2009,98,17.97,0.33,0,0.403016174011853
2009,99,18.64,3.75,0,0.419715329749528
2009,100,21.32,1.2,0,0.436931614881947
2009,101,20.37,-0.21,0,0.454672188822595
2009,102,20.33,0.33,0,0.472943861388436
2009,103,17.77,1.21,0,0.491753067495227
2009,104,18.23,0.45,0,0.511105841595404
2009,105,20.02,1.35,0,0.53100779191073
2009,106,20.71,1.66,0,0.551464074514601
2009,107,14.89,5.97,0.3,0.57247936732146
2009,108,14.18,1.7,0,0.594057844043323
2009,109,16.87,0.45,0,0.616203148175823
2009,110,18.17,6.12,0,0.63891836707848
