obs,period,time,T_01,T_02,T_03,T_04,T_05,T_06,T_07,T_08,T_09,T_10,T_11,T_12,prec,A_init,W_init,E_init,N_init,H_init,A_in,W_in,E_in,N_in,H_in,size,c_obs,c_unc
1,1,1,-21.5,-16.5,-10.3,1.9,10,14.6,17.4,15.9,9.9,3.7,-7.2,-16.5,398.40000000000003,313.5,371.5,67.4,247.7,0,0,0,0,0,0,0,773.3570000000001,100
2,1,1.98,-21.5,-16.5,-10.3,1.9,10,14.6,17.4,15.9,9.9,3.7,-7.2,-16.5,398.40000000000003,313.5,371.5,67.4,247.7,0,0,0,0,0,0,0,684.558,100
3,1,3.01,-21.5,-16.5,-10.3,1.9,10,14.6,17.4,15.9,9.9,3.7,-7.2,-16.5,398.40000000000003,313.5,371.5,67.4,247.7,0,0,0,0,0,0,0,670.605,100
4,1,3.99,-21.5,-16.5,-10.3,1.9,10,14.6,17.4,15.9,9.9,3.7,-7.2,-16.5,398.40000000000003,313.5,371.5,67.4,247.7,0,0,0,0,0,0,0,640.06,100
5,1,4.99,-21.5,-16.5,-10.3,1.9,10,14.6,17.4,15.9,9.9,3.7,-7.2,-16.5,398.40000000000003,313.5,371.5,67.4,247.7,0,0,0,0,0,0,0,439.462,100
6,1,6.01,-21.5,-16.5,-10.3,1.9,10,14.6,17.4,15.9,9.9,3.7,-7.2,-16.5,398.40000000000003,313.5,371.5,67.4,247.7,0,0,0,0,0,0,0,443.96799999999996,100
7,2,1,-21.5,-16.5,-10.3,1.9,10,14.6,17.4,15.9,9.9,3.7,-7.2,-16.5,398.40000000000003,391.4,112.7,114.9,381.1,0,0,0,0,0,0,0,888.1640000000001,100
8,2,1.98,-21.5,-16.5,-10.3,1.9,10,14.6,17.4,15.9,9.9,3.7,-7.2,-16.5,398.40000000000003,391.4,112.7,114.9,381.1,0,0,0,0,0,0,0,889.618,100
9,2,3.01,-21.5,-16.5,-10.3,1.9,10,14.6,17.4,15.9,9.9,3.7,-7.2,-16.5,398.40000000000003,391.4,112.7,114.9,381.1,0,0,0,0,0,0,0,941.233,100
10,2,3.99,-21.5,-16.5,-10.3,1.9,10,14.6,17.4,15.9,9.9,3.7,-7.2,-16.5,398.40000000000003,391.4,112.7,114.9,381.1,0,0,0,0,0,0,0,824.3439999999999,100
11,2,4.99,-21.5,-16.5,-10.3,1.9,10,14.6,17.4,15.9,9.9,3.7,-7.2,-16.5,398.40000000000003,391.4,112.7,114.9,381.1,0,0,0,0,0,0,0,815.7710000000001,100
12,2,6.01,-21.5,-16.5,-10.3,1.9,10,14.6,17.4,15.9,9.9,3.7,-7.2,-16.5,398.40000000000003,391.4,112.7,114.9,381.1,0,0,0,0,0,0,0,841.332,100
13,3,1,-21.5,-16.5,-10.3,1.9,10,14.6,17.4,15.9,9.9,3.7,-7.2,-16.5,398.40000000000003,444.4,122.5,109.6,323.7,0,0,0,0,0,0,0,874.9129999999999,100
14,3,1.98,-21.5,-16.5,-10.3,1.9,10,14.6,17.4,15.9,9.9,3.7,-7.2,-16.5,398.40000000000003,444.4,122.5,109.6,323.7,0,0,0,0,0,0,0,851.7570000000001,100
15,3,3.01,-21.5,-16.5,-10.3,1.9,10,14.6,17.4,15.9,9.9,3.7,-7.2,-16.5,398.40000000000003,444.4,122.5,109.6,323.7,0,0,0,0,0,0,0,888.609,100
16,3,3.99,-21.5,-16.5,-10.3,1.9,10,14.6,17.4,15.9,9.9,3.7,-7.2,-16.5,398.40000000000003,444.4,122.5,109.6,323.7,0,0,0,0,0,0,0,712.152,100
17,3,4.99,-21.5,-16.5,-10.3,1.9,10,14.6,17.4,15.9,9.9,3.7,-7.2,-16.5,398.40000000000003,444.4,122.5,109.6,323.7,0,0,0,0,0,0,0,590.1149999999999,100
18,3,6.01,-21.5,-16.5,-10.3,1.9,10,14.6,17.4,15.9,9.9,3.7,-7.2,-16.5,398.40000000000003,444.4,122.5,109.6,323.7,0,0,0,0,0,0,0,519.199,100
19,4,1,-21.5,-16.5,-10.3,1.9,10,14.6,17.4,15.9,9.9,3.7,-7.2,-16.5,398.40000000000003,385.3,206.8,113.7,294.3,0,0,0,0,0,0,0,769.7499999999999,100
20,4,1.98,-21.5,-16.5,-10.3,1.9,10,14.6,17.4,15.9,9.9,3.7,-7.2,-16.5,398.40000000000003,385.3,206.8,113.7,294.3,0,0,0,0,0,0,0,681.411,100
21,4,3.01,-21.5,-16.5,-10.3,1.9,10,14.6,17.4,15.9,9.9,3.7,-7.2,-16.5,398.40000000000003,385.3,206.8,113.7,294.3,0,0,0,0,0,0,0,753.707,100
22,4,3.99,-21.5,-16.5,-10.3,1.9,10,14.6,17.4,15.9,9.9,3.7,-7.2,-16.5,398.40000000000003,385.3,206.8,113.7,294.3,0,0,0,0,0,0,0,625.059,100
23,4,4.99,-21.5,-16.5,-10.3,1.9,10,14.6,17.4,15.9,9.9,3.7,-7.2,-16.5,398.40000000000003,385.3,206.8,113.7,294.3,0,0,0,0,0,0,0,479.79,100
24,4,6.01,-21.5,-16.5,-10.3,1.9,10,14.6,17.4,15.9,9.9,3.7,-7.2,-16.5,398.40000000000003,385.3,206.8,113.7,294.3,0,0,0,0,0,0,0,561.1160000000001,100
25,5,1,-21.5,-16.5,-10.3,1.9,10,14.6,17.4,15.9,9.9,3.7,-7.2,-16.5,398.40000000000003,365.7,383.9,94.8,155.7,0,0,0,0,0,0,0,695.3539999999999,100
26,5,1.98,-21.5,-16.5,-10.3,1.9,10,14.6,17.4,15.9,9.9,3.7,-7.2,-16.5,398.40000000000003,365.7,383.9,94.8,155.7,0,0,0,0,0,0,0,680.2660000000001,100
27,5,3.01,-21.5,-16.5,-10.3,1.9,10,14.6,17.4,15.9,9.9,3.7,-7.2,-16.5,398.40000000000003,365.7,383.9,94.8,155.7,0,0,0,0,0,0,0,557.209,100
28,5,3.99,-21.5,-16.5,-10.3,1.9,10,14.6,17.4,15.9,9.9,3.7,-7.2,-16.5,398.40000000000003,365.7,383.9,94.8,155.7,0,0,0,0,0,0,0,462.714,100
29,5,4.99,-21.5,-16.5,-10.3,1.9,10,14.6,17.4,15.9,9.9,3.7,-7.2,-16.5,398.40000000000003,365.7,383.9,94.8,155.7,0,0,0,0,0,0,0,491.455,100
30,5,6.01,-21.5,-16.5,-10.3,1.9,10,14.6,17.4,15.9,9.9,3.7,-7.2,-16.5,398.40000000000003,365.7,383.9,94.8,155.7,0,0,0,0,0,0,0,444.326,100
31,6,1,-21.5,-16.5,-10.3,1.9,10,14.6,17.4,15.9,9.9,3.7,-7.2,-16.5,398.40000000000003,435.6,156.4,71.5,336.6,0,0,0,0,0,0,0,847.6640000000001,100
32,6,1.98,-21.5,-16.5,-10.3,1.9,10,14.6,17.4,15.9,9.9,3.7,-7.2,-16.5,398.40000000000003,435.6,156.4,71.5,336.6,0,0,0,0,0,0,0,782.57,100
33,6,3.01,-21.5,-16.5,-10.3,1.9,10,14.6,17.4,15.9,9.9,3.7,-7.2,-16.5,398.40000000000003,435.6,156.4,71.5,336.6,0,0,0,0,0,0,0,709.936,100
