period,obs,time,T_01,T_02,T_03,T_04,T_05,T_06,T_07,T_08,T_09,T_10,T_11,T_12,prec,A_init,W_init,E_init,N_init,H_init,A_in,W_in,E_in,N_in,H_in,size,c_obs,c_unc
1,1,1,-21.5,-16.5,-10.3,1.9,10,14.6,17.4,15.9,9.9,3.7,-7.2,-16.5,398.40000000000003,313.5,371.5,67.4,247.7,0,0,0,0,0,0,0,773.3570000000001,100
1,2,1.98,-21.5,-16.5,-10.3,1.9,10,14.6,17.4,15.9,9.9,3.7,-7.2,-16.5,398.40000000000003,313.5,371.5,67.4,247.7,0,0,0,0,0,0,0,684.558,100
1,3,3.01,-21.5,-16.5,-10.3,1.9,10,14.6,17.4,15.9,9.9,3.7,-7.2,-16.5,398.40000000000003,313.5,371.5,67.4,247.7,0,0,0,0,0,0,0,670.605,100
1,4,3.99,-21.5,-16.5,-10.3,1.9,10,14.6,17.4,15.9,9.9,3.7,-7.2,-16.5,398.40000000000003,313.5,371.5,67.4,247.7,0,0,0,0,0,0,0,640.06,100
1,5,4.99,-21.5,-16.5,-10.3,1.9,10,14.6,17.4,15.9,9.9,3.7,-7.2,-16.5,398.40000000000003,313.5,371.5,67.4,247.7,0,0,0,0,0,0,0,439.462,100
1,6,6.01,-21.5,-16.5,-10.3,1.9,10,14.6,17.4,15.9,9.9,3.7,-7.2,-16.5,398.40000000000003,313.5,371.5,67.4,247.7,0,0,0,0,0,0,0,443.96799999999996,100
2,7,1,-21.5,-16.5,-10.3,1.9,10,14.6,17.4,15.9,9.9,3.7,-7.2,-16.5,398.40000000000003,391.4,112.7,114.9,381.1,0,0,0,0,0,0,0,888.1640000000001,100
2,8,1.98,-21.5,-16.5,-10.3,1.9,10,14.6,17.4,15.9,9.9,3.7,-7.2,-16.5,398.40000000000003,391.4,112.7,114.9,381.1,0,0,0,0,0,0,0,889.618,100
2,9,3.01,-21.5,-16.5,-10.3,1.9,10,14.6,17.4,15.9,9.9,3.7,-7.2,-16.5,398.40000000000003,391.4,112.7,114.9,381.1,0,0,0,0,0,0,0,941.233,100
2,10,3.99,-21.5,-16.5,-10.3,1.9,10,14.6,17.4,15.9,9.9,3.7,-7.2,-16.5,398.40000000000003,391.4,112.7,114.9,381.1,0,0,0,0,0,0,0,824.3439999999999,100
2,11,4.99,-21.5,-16.5,-10.3,1.9,10,14.6,17.4,15.9,9.9,3.7,-7.2,-16.5,398.40000000000003,391.4,112.7,114.9,381.1,0,0,0,0,0,0,0,815.7710000000001,100
2,12,6.01,-21.5,-16.5,-10.3,1.9,10,14.6,17.4,15.9,9.9,3.7,-7.2,-16.5,398.40000000000003,391.4,112.7,114.9,381.1,0,0,0,0,0,0,0,841.332,100
3,13,1,-21.5,-16.5,-10.3,1.9,10,14.6,17.4,15.9,9.9,3.7,-7.2,-16.5,398.40000000000003,444.4,122.5,109.6,323.7,0,0,0,0,0,0,0,874.9129999999999,100
3,14,1.98,-21.5,-16.5,-10.3,1.9,10,14.6,17.4,15.9,9.9,3.7,-7.2,-16.5,398.40000000000003,444.4,122.5,109.6,323.7,0,0,0,0,0,0,0,851.7570000000001,100
3,15,3.01,-21.5,-16.5,-10.3,1.9,10,14.6,17.4,15.9,9.9,3.7,-7.2,-16.5,398.40000000000003,444.4,122.5,109.6,323.7,0,0,0,0,0,0,0,888.609,100
3,16,3.99,-21.5,-16.5,-10.3,1.9,10,14.6,17.4,15.9,9.9,3.7,-7.2,-16.5,398.40000000000003,444.4,122.5,109.6,323.7,0,0,0,0,0,0,0,712.152,100
