period,obs,time,T_01,T_02,T_03,T_04,T_05,T_06,T_07,T_08,T_09,T_10,T_11,T_12,prec,A_init,W_init,E_init,N_init,H_init,A_in,W_in,E_in,N_in,H_in,size,A_obs,W_obs,E_obs,N_obs,A_unc,W_unc,E_unc,N_unc
1,2,1.010958904109589,-15.3,-13.3,-6.9,0,6.7,12.8,14.9,12.5,6.9,0.8,-7.6,-12.6,617,483,164,96,257,0,0,0,0,0,0,0,495.864,53.253,78.57,245.313,34.92,8.73,17.46,34.92
1,3,2.032876712328767,-15.3,-13.3,-6.9,0,6.7,12.8,14.9,12.5,6.9,0.8,-7.6,-12.6,617,483,164,96,257,0,0,0,0,0,0,0,379.16999999999996,30.639999999999997,65.87599999999999,290.31399999999996,30.639999999999997,7.659999999999999,15.319999999999999,30.639999999999997
1,4,3.0164383561643837,-15.3,-13.3,-6.9,0,6.7,12.8,14.9,12.5,6.9,0.8,-7.6,-12.6,617,483,164,96,257,0,0,0,0,0,0,0,333.595,28.770000000000003,52.06,270.57500000000005,27.400000000000002,6.8500000000000005,13.700000000000001,27.400000000000002
1,5,4.005479452054795,-15.3,-13.3,-6.9,0,6.7,12.8,14.9,12.5,6.9,0.8,-7.6,-12.6,617,483,164,96,257,0,0,0,0,0,0,0,269.808,25.695999999999998,47.303999999999995,241.19199999999998,23.36,5.84,11.68,23.36
4,16,0.7972602739726027,-15.3,-13.3,-6.9,0,6.7,12.8,14.9,12.5,6.9,0.8,-7.6,-12.6,617,492,164,113,231,0,0,0,0,0,0,0,468.901,44.251999999999995,81.696,256.151,34.04,8.51,17.02,34.04
4,17,1.021917808219178,-15.3,-13.3,-6.9,0,6.7,12.8,14.9,12.5,6.9,0.8,-7.6,-12.6,617,492,164,113,231,0,0,0,0,0,0,0,417.11,42.498000000000005,72.404,254.988,31.48,7.87,15.74,31.48
4,18,1.7726027397260273,-15.3,-13.3,-6.9,0,6.7,12.8,14.9,12.5,6.9,0.8,-7.6,-12.6,617,492,164,113,231,0,0,0,0,0,0,0,379.904,37.842,67.522,256.73199999999997,29.68,7.42,14.84,29.68
4,19,2.0164383561643837,-15.3,-13.3,-6.9,0,6.7,12.8,14.9,12.5,6.9,0.8,-7.6,-12.6,617,492,164,113,231,0,0,0,0,0,0,0,341.36,31.28,64.60000000000001,242.76000000000002,27.200000000000003,6.800000000000001,13.600000000000001,27.200000000000003
5,21,0.22465753424657534,-15.3,-13.3,-6.9,0,6.7,12.8,14.9,12.5,6.9,0.8,-7.6,-12.6,617,481,178,112,229,0,0,0,0,0,0,0,469.386,68.562,83.505,257.547,35.16,8.79,17.58,35.16
5,22,0.9753424657534246,-15.3,-13.3,-6.9,0,6.7,12.8,14.9,12.5,6.9,0.8,-7.6,-12.6,617,481,178,112,229,0,0,0,0,0,0,0,394.865,52.095,75.5,232.54,30.2,7.55,15.1,30.2
5,23,1.2191780821917808,-15.3,-13.3,-6.9,0,6.7,12.8,14.9,12.5,6.9,0.8,-7.6,-12.6,617,481,178,112,229,0,0,0,0,0,0,0,375.859,47.254999999999995,72.7,231.186,29.08,7.27,14.54,29.08
5,24,1.9726027397260273,-15.3,-13.3,-6.9,0,6.7,12.8,14.9,12.5,6.9,0.8,-7.6,-12.6,617,481,178,112,229,0,0,0,0,0,0,0,335,38.86,73.03,223.11,26.8,6.7,13.4,26.8
5,25,2.221917808219178,-15.3,-13.3,-6.9,0,6.7,12.8,14.9,12.5,6.9,0.8,-7.6,-12.6,617,481,178,112,229,0,0,0,0,0,0,0,309.879,29.808,63.963,217.35,24.84,6.21,12.42,24.84
5,26,2.967123287671233,-15.3,-13.3,-6.9,0,6.7,12.8,14.9,12.5,6.9,0.8,-7.6,-12.6,617,481,178,112,229,0,0,0,0,0,0,0,289.391,27.002000000000002,58.11300000000001,212.49400000000003,23.480000000000004,5.870000000000001,11.740000000000002,23.480000000000004
6,28,0.7506849315068493,-15.3,-13.3,-6.9,0,6.7,12.8,14.9,12.5,6.9,0.8,-7.6,-12.6,617,481,178,112,229,0,0,0,0,0,0,0,465.341,48.565,98.896,270.198,35.32,8.83,17.66,35.32
6,29,0.9945205479452055,-15.3,-13.3,-6.9,0,6.7,12.8,14.9,12.5,6.9,0.8,-7.6,-12.6,617,481,178,112,229,0,0,0,0,0,0,0,413.69599999999997,43.632,89.68799999999999,260.984,32.32,8.08,16.16,32.32
6,30,1.747945205479452,-15.3,-13.3,-6.9,0,6.7,12.8,14.9,12.5,6.9,0.8,-7.6,-12.6,617,481,178,112,229,0,0,0,0,0,0,0,389.883,36.912,84.59,257.615,30.76,7.69,15.38,30.76
6,31,1.9972602739726026,-15.3,-13.3,-6.9,0,6.7,12.8,14.9,12.5,6.9,0.8,-7.6,-12.6,617,481,178,112,229,0,0,0,0,0,0,0,353.304,28.741,73.60499999999999,245.35,28.04,7.01,14.02,28.04
7,33,0.24383561643835616,-15.3,-13.3,-6.9,0,6.7,12.8,14.9,12.5,6.9,0.8,-7.6,-12.6,617,514,82,116,288,0,0,0,0,0,0,0,499.26000000000005,46.158,100.79400000000001,295.788,37.68,9.42,18.84,37.68
7,34,0.9972602739726028,-15.3,-13.3,-6.9,0,6.7,12.8,14.9,12.5,6.9,0.8,-7.6,-12.6,617,514,82,116,288,0,0,0,0,0,0,0,450.46500000000003,38.94,98.235,297.36,35.4,8.85,17.7,35.4
7,35,1.2465753424657535,-15.3,-13.3,-6.9,0,6.7,12.8,14.9,12.5,6.9,0.8,-7.6,-12.6,617,514,82,116,288,0,0,0,0,0,0,0,415.5,32.409,93.072,290.019,33.239999999999995,8.309999999999999,16.619999999999997,33.239999999999995
7,36,2,-15.3,-13.3,-6.9,0,6.7,12.8,14.9,12.5,6.9,0.8,-7.6,-12.6,617,514,82,116,288,0,0,0,0,0,0,0,380.424,29.081999999999997,85.67399999999999,290.82,31.439999999999998,7.859999999999999,15.719999999999999,31.439999999999998
7,37,2.26027397260274,-15.3,-13.3,-6.9,0,6.7,12.8,14.9,12.5,6.9,0.8,-7.6,-12.6,617,514,82,116,288,0,0,0,0,0,0,0,355.68,25.194,76.323,283.803,29.64,7.41,14.82,29.64
7,38,3,-15.3,-13.3,-6.9,0,6.7,12.8,14.9,12.5,6.9,0.8,-7.6,-12.6,617,514,82,116,288,0,0,0,0,0,0,0,312.62399999999997,24.715999999999998,66.13199999999999,264.52799999999996,26.72,6.68,13.36,26.72
10,53,0.2493150684931507,-15.3,-13.3,-6.9,0,6.7,12.8,14.9,12.5,6.9,0.8,-7.6,-12.6,617,514,82,116,288,0,0,0,0,0,0,0,503.90799999999996,51.732,101.548,300.812,38.32,9.58,19.16,38.32
10,54,0.9945205479452055,-15.3,-13.3,-6.9,0,6.7,12.8,14.9,12.5,6.9,0.8,-7.6,-12.6,617,514,82,116,288,0,0,0,0,0,0,0,475.52399999999994,35.802,100.97999999999999,305.69399999999996,36.72,9.18,18.36,36.72
10,55,1.263013698630137,-15.3,-13.3,-6.9,0,6.7,12.8,14.9,12.5,6.9,0.8,-7.6,-12.6,617,514,82,116,288,0,0,0,0,0,0,0,423.65100000000007,30.564000000000004,89.99400000000001,304.79100000000005,33.96,8.49,16.98,33.96
10,56,2.0027397260273974,-15.3,-13.3,-6.9,0,6.7,12.8,14.9,12.5,6.9,0.8,-7.6,-12.6,617,514,82,116,288,0,0,0,0,0,0,0,380.966,29.489,86.07600000000001,300.469,31.880000000000003,7.970000000000001,15.940000000000001,31.880000000000003
10,57,2.2575342465753425,-15.3,-13.3,-6.9,0,6.7,12.8,14.9,12.5,6.9,0.8,-7.6,-12.6,617,514,82,116,288,0,0,0,0,0,0,0,353.40000000000003,26.784000000000002,76.632,287.184,29.760000000000005,7.440000000000001,14.880000000000003,29.760000000000005
