obs,period,time,T_01,T_02,T_03,T_04,T_05,T_06,T_07,T_08,T_09,T_10,T_11,T_12,prec,A_init,W_init,E_init,N_init,H_init,A_in,W_in,E_in,N_in,H_in,size,A_obs,W_obs,E_obs,N_obs,A_unc,W_unc,E_unc,N_unc
4,1,0.9424657534246575,-7.3,-6.6,-3.1,2.5,8.6,13,15.5,13.8,9.1,3.7,-0.8,-4.1,671,565,92,120,223,0,0,0,0,0,0,0,387.07199999999995,45.35999999999999,71.82,251.74799999999996,30.239999999999995,7.559999999999999,15.119999999999997,30.239999999999995
5,1,1.0301369863013699,-7.3,-6.6,-3.1,2.5,8.6,13,15.5,13.8,9.1,3.7,-0.8,-4.1,671,565,92,120,223,0,0,0,0,0,0,0,362.77299999999997,41.439,60.341,262.447,29.08,7.27,14.54,29.08
6,1,1.3424657534246576,-7.3,-6.6,-3.1,2.5,8.6,13,15.5,13.8,9.1,3.7,-0.8,-4.1,671,565,92,120,223,0,0,0,0,0,0,0,313.141,29.578,55.298,244.983,25.72,6.43,12.86,25.72
7,1,1.4931506849315068,-7.3,-6.6,-3.1,2.5,8.6,13,15.5,13.8,9.1,3.7,-0.8,-4.1,671,565,92,120,223,0,0,0,0,0,0,0,253.896,27.831999999999997,49.983999999999995,236.28799999999998,22.72,5.68,11.36,22.72
8,1,1.9917808219178081,-7.3,-6.6,-3.1,2.5,8.6,13,15.5,13.8,9.1,3.7,-0.8,-4.1,671,565,92,120,223,0,0,0,0,0,0,0,244.64000000000001,27.800000000000004,46.70400000000001,236.85600000000002,22.240000000000002,5.5600000000000005,11.120000000000001,22.240000000000002
9,1,2.010958904109589,-7.3,-6.6,-3.1,2.5,8.6,13,15.5,13.8,9.1,3.7,-0.8,-4.1,671,565,92,120,223,0,0,0,0,0,0,0,229.80800000000002,31.978,50.406000000000006,229.80800000000002,21.68,5.42,10.84,21.68
10,1,2.317808219178082,-7.3,-6.6,-3.1,2.5,8.6,13,15.5,13.8,9.1,3.7,-0.8,-4.1,671,565,92,120,223,0,0,0,0,0,0,0,205.936,26.84,46.848,208.376,19.52,4.88,9.76,19.52
11,1,2.5287671232876714,-7.3,-6.6,-3.1,2.5,8.6,13,15.5,13.8,9.1,3.7,-0.8,-4.1,671,565,92,120,223,0,0,0,0,0,0,0,184.756,17.238,35.36,204.64600000000002,17.68,4.42,8.84,17.68
13,1,3.367123287671233,-7.3,-6.6,-3.1,2.5,8.6,13,15.5,13.8,9.1,3.7,-0.8,-4.1,671,565,92,120,223,0,0,0,0,0,0,0,145.78,21.09,35.15,167.98,14.8,3.7,7.4,14.8
14,1,3.4904109589041097,-7.3,-6.6,-3.1,2.5,8.6,13,15.5,13.8,9.1,3.7,-0.8,-4.1,671,565,92,120,223,0,0,0,0,0,0,0,145.88600000000002,16.290000000000003,39.458000000000006,160.366,14.480000000000002,3.6200000000000006,7.240000000000001,14.480000000000002
