obs,time,T_01,T_02,T_03,T_04,T_05,T_06,T_07,T_08,T_09,T_10,T_11,T_12,prec,A_init,W_init,E_init,N_init,H_init,A_in_nonw,W_in_nonw,E_in_nonw,N_in_nonw,H_in_nonw,A_in_smallw,W_in_smallw,E_in_smallw,N_in_smallw,H_in_smallw,A_in_largew,W_in_largew,E_in_largew,N_in_largew,H_in_largew,size_nonw,size_smallw,size_largew,c_obs,c_unc
1,1,27.37,29.8467,31.1167,30.5733,29.13,27.1267,26.0267,25.8833,26.19,27.5233,27.78,26.9167,1151.7806230000003,0,0,0,0,0,0.28968,0.11587200000000002,0.05793600000000001,0.11587200000000002,0,0,0,0,0,0,0,0,0,0,0,0,2,10,6.3,7.5
2,1,-11.1267,-10.16,-5.32667,-0.383333,5.90667,10.6467,11.8767,10.61,6.64333,1.62667,-4.24333,-7.62333,700.9897,0,0,0,0,0,0.156636,0.0626544,0.0313272,0.0626544,0,0,0,0,0,0,0,0,0,0,0,0,2,10,50.4,7.5
3,1,-11.1267,-10.16,-5.32667,-0.383333,5.90667,10.6467,11.8767,10.61,6.64333,1.62667,-4.24333,-7.62333,700.9897,0,0,0,0,0,0.0626544,0.025061760000000002,0.012530880000000001,0.025061760000000002,0,0.06578712,0,0,0.028194479999999997,0,0.06578712,0,0,0.028194479999999997,0,0,2,10,5.7,7.5
4,1,-2.98667,-3.11333,0.42,4.9,10.3967,14.86,16.2667,15.5333,11.94,7.26,1.27667,-1.35333,773.0028,0,0,0,0,0,0.039642300000000005,0.015856920000000004,0.007928460000000002,0.015856920000000004,0,0.041624415,0,0,0.017839035,0,0.041624415,0,0,0.017839035,0,0,2,10,6.4,7.5
5,1,-2.98667,-3.11333,0.42,4.9,10.3967,14.86,16.2667,15.5333,11.94,7.26,1.27667,-1.35333,773.0028,0,0,0,0,0,0.039642300000000005,0.015856920000000004,0.007928460000000002,0.015856920000000004,0,0.041624415,0,0,0.017839035,0,0.041624415,0,0,0.017839035,0,0,2,10,16.3,7.5
6,1,22.8333,25.14,27.6567,29.83,29.09,28.1367,27.5833,27.2567,27.33,26.84,25.0033,22.82,1280.98367,0,0,0,0,0,0.20266,0.08106400000000001,0.040532000000000006,0.08106400000000001,0,0.21279299999999998,0,0,0.09119699999999999,0,0.21279299999999998,0,0,0.09119699999999999,0,0,2,10,6,7.5
7,1,20.2133,22.7467,25.67,28.0267,27.34,26.57,26.2,26.0167,25.87,25.1267,22.7633,19.7833,1148.97676,0,0,0,0,0,0.21310300000000004,0.08524120000000002,0.04262060000000001,0.08524120000000002,0,0.22375815,0,0,0.09589635000000002,0,0.22375815,0,0,0.09589635000000002,0,0,2,10,9.2,7.5
8,1,20.2133,22.7467,25.67,28.0267,27.34,26.57,26.2,26.0167,25.87,25.1267,22.7633,19.7833,1148.97676,0,0,0,0,0,0.21310300000000004,0.08524120000000002,0.04262060000000001,0.08524120000000002,0,0.22375815,0,0,0.09589635000000002,0,0.22375815,0,0,0.09589635000000002,0,0,2,10,7.5,7.5
9,1,20.2133,22.7467,25.67,28.0267,27.34,26.57,26.2,26.0167,25.87,25.1267,22.7633,19.7833,1148.97676,0,0,0,0,0,0.21310300000000004,0.08524120000000002,0.04262060000000001,0.08524120000000002,0,0.22375815,0,0,0.09589635000000002,0,0.22375815,0,0,0.09589635000000002,0,0,2,10,8.1,7.5
10,1,20.2133,22.7467,25.67,28.0267,27.34,26.57,26.2,26.0167,25.87,25.1267,22.7633,19.7833,1148.97676,0,0,0,0,0,0.5327575,0.21310300000000004,0.10655150000000002,0.21310300000000004,0,0,0,0,0,0,0,0,0,0,0,0,2,10,6.5,7.5
11,1,20.2133,22.7467,25.67,28.0267,27.34,26.57,26.2,26.0167,25.87,25.1267,22.7633,19.7833,1148.97676,0,0,0,0,0,0.21310300000000004,0.08524120000000002,0.04262060000000001,0.08524120000000002,0,0.22375815,0,0,0.09589635000000002,0,0.22375815,0,0,0.09589635000000002,0,0,2,10,3.1,7.5
12,1,20.2133,22.7467,25.67,28.0267,27.34,26.57,26.2,26.0167,25.87,25.1267,22.7633,19.7833,1148.97676,0,0,0,0,0,0.21310300000000004,0.08524120000000002,0.04262060000000001,0.08524120000000002,0,0.22375815,0,0,0.09589635000000002,0,0.22375815,0,0,0.09589635000000002,0,0,2,10,3.3,7.5
13,1,20.2133,22.7467,25.67,28.0267,27.34,26.57,26.2,26.0167,25.87,25.1267,22.7633,19.7833,1148.97676,0,0,0,0,0,0.21310300000000004,0.08524120000000002,0.04262060000000001,0.08524120000000002,0,0.22375815,0,0,0.09589635000000002,0,0.22375815,0,0,0.09589635000000002,0,0,2,10,3.2,7.5
14,1,20.2133,22.7467,25.67,28.0267,27.34,26.57,26.2,26.0167,25.87,25.1267,22.7633,19.7833,1148.97676,0,0,0,0,0,0.21310300000000004,0.08524120000000002,0.04262060000000001,0.08524120000000002,0,0.22375815,0,0,0.09589635000000002,0,0.22375815,0,0,0.09589635000000002,0,0,2,10,3.6,7.5
15,1,20.2133,22.7467,25.67,28.0267,27.34,26.57,26.2,26.0167,25.87,25.1267,22.7633,19.7833,1148.97676,0,0,0,0,0,0.5327575,0.21310300000000004,0.10655150000000002,0.21310300000000004,0,0,0,0,0,0,0,0,0,0,0,0,2,10,2.6,7.5
16,1,20.2133,22.7467,25.67,28.0267,27.34,26.57,26.2,26.0167,25.87,25.1267,22.7633,19.7833,1148.97676,0,0,0,0,0,0.5327575,0.21310300000000004,0.10655150000000002,0.21310300000000004,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0.4,7.5
17,1,19.14,21.3133,24.1867,26.5833,26.62,26.2933,25.84,25.71,25.52,24.2633,21.8367,18.7267,1504.9769000000001,0,0,0,0,0,0.192443,0.07697720000000001,0.038488600000000005,0.07697720000000001,0,0.20206515,0,0,0.08659935,0,0.20206515,0,0,0.08659935,0,0,2,10,10.6,7.5
18,1,19.14,21.3133,24.1867,26.5833,26.62,26.2933,25.84,25.71,25.52,24.2633,21.8367,18.7267,1504.9769000000001,0,0,0,0,0,0.192443,0.07697720000000001,0.038488600000000005,0.07697720000000001,0,0.20206515,0,0,0.08659935,0,0.20206515,0,0,0.08659935,0,0,2,10,9.3,7.5
19,1,20.2133,22.7467,25.67,28.0267,27.34,26.57,26.2,26.0167,25.87,25.1267,22.7633,19.7833,1148.97676,0,0,0,0,0,0.21310300000000004,0.08524120000000002,0.04262060000000001,0.08524120000000002,0,0.22375815,0,0,0.09589635000000002,0,0.22375815,0,0,0.09589635000000002,0,0,2,10,10.2,7.5
20,1,20.2133,22.7467,25.67,28.0267,27.34,26.57,26.2,26.0167,25.87,25.1267,22.7633,19.7833,1148.97676,0,0,0,0,0,0.21310300000000004,0.08524120000000002,0.04262060000000001,0.08524120000000002,0,0.22375815,0,0,0.09589635000000002,0,0.22375815,0,0,0.09589635000000002,0,0,2,10,7.3,7.5
21,1,22.8333,25.14,27.6567,29.83,29.09,28.1367,27.5833,27.2567,27.33,26.84,25.0033,22.82,1280.98367,0,0,0,0,0,0.20266,0.08106400000000001,0.040532000000000006,0.08106400000000001,0,0.21279299999999998,0,0,0.09119699999999999,0,0.21279299999999998,0,0,0.09119699999999999,0,0,2,10,2.8,7.5
22,1,22.8333,25.14,27.6567,29.83,29.09,28.1367,27.5833,27.2567,27.33,26.84,25.0033,22.82,1280.98367,0,0,0,0,0,0.20266,0.08106400000000001,0.040532000000000006,0.08106400000000001,0,0.21279299999999998,0,0,0.09119699999999999,0,0.21279299999999998,0,0,0.09119699999999999,0,0,2,10,3,7.5
23,1,22.8333,25.14,27.6567,29.83,29.09,28.1367,27.5833,27.2567,27.33,26.84,25.0033,22.82,1280.98367,0,0,0,0,0,0.20266,0.08106400000000001,0.040532000000000006,0.08106400000000001,0,0.21279299999999998,0,0,0.09119699999999999,0,0.21279299999999998,0,0,0.09119699999999999,0,0,2,10,9.2,7.5
24,1,22.8333,25.14,27.6567,29.83,29.09,28.1367,27.5833,27.2567,27.33,26.84,25.0033,22.82,1280.98367,0,0,0,0,0,0.20266,0.08106400000000001,0.040532000000000006,0.08106400000000001,0,0.21279299999999998,0,0,0.09119699999999999,0,0.21279299999999998,0,0,0.09119699999999999,0,0,2,10,6.7,7.5
25,1,22.8333,25.14,27.6567,29.83,29.09,28.1367,27.5833,27.2567,27.33,26.84,25.0033,22.82,1280.98367,0,0,0,0,0,0.20266,0.08106400000000001,0.040532000000000006,0.08106400000000001,0,0.21279299999999998,0,0,0.09119699999999999,0,0.21279299999999998,0,0,0.09119699999999999,0,0,2,10,9.3,7.5
26,1,22.8333,25.14,27.6567,29.83,29.09,28.1367,27.5833,27.2567,27.33,26.84,25.0033,22.82,1280.98367,0,0,0,0,0,0.20266,0.08106400000000001,0.040532000000000006,0.08106400000000001,0,0.21279299999999998,0,0,0.09119699999999999,0,0.21279299999999998,0,0,0.09119699999999999,0,0,2,10,8.5,7.5
27,1,20.8567,23.0267,25.5767,27.63,27.0767,26.3833,25.91,25.6067,25.6367,25.03,23.04,20.6733,1218.95307,0,0,0,0,0,0.53114,0.212456,0.106228,0.212456,0,0,0,0,0,0,0,0,0,0,0,0,2,10,3.6,7.5
28,1,20.8633,23.1167,25.8667,28.13,27.7733,27.08,26.6,26.34,26.2667,25.5867,23.38,20.87,1216.9927299999997,0,0,0,0,0,0.208064,0.08322560000000001,0.041612800000000005,0.08322560000000001,0,0.2184672,0,0,0.09362879999999998,0,0.2184672,0,0,0.09362879999999998,0,0,2,10,4.4,7.5
29,1,20.8633,23.1167,25.8667,28.13,27.7733,27.08,26.6,26.34,26.2667,25.5867,23.38,20.87,1216.9927299999997,0,0,0,0,0,0.208064,0.08322560000000001,0.041612800000000005,0.08322560000000001,0,0.2184672,0,0,0.09362879999999998,0,0.2184672,0,0,0.09362879999999998,0,0,2,10,9.8,7.5
30,1,25.0967,25.4733,25.83,26.1233,26.0933,25.8067,25.46,25.41,25.2233,25.13,25.0167,24.9733,2886.009,0,0,0,0,0,0.28771800000000003,0.11508720000000001,0.05754360000000001,0.11508720000000001,0,0.3021039,0,0,0.12947309999999998,0,0.3021039,0,0,0.12947309999999998,0,0,2,10,8.8,7.5
31,1,20.8633,23.1167,25.8667,28.13,27.7733,27.08,26.6,26.34,26.2667,25.5867,23.38,20.87,1216.9927299999997,0,0,0,0,0,0.208064,0.08322560000000001,0.041612800000000005,0.08322560000000001,0,0.2184672,0,0,0.09362879999999998,0,0.2184672,0,0,0.09362879999999998,0,0,2,10,5.7,7.5
32,1,20.8633,23.1167,25.8667,28.13,27.7733,27.08,26.6,26.34,26.2667,25.5867,23.38,20.87,1216.9927299999997,0,0,0,0,0,0.208064,0.08322560000000001,0.041612800000000005,0.08322560000000001,0,0.2184672,0,0,0.09362879999999998,0,0.2184672,0,0,0.09362879999999998,0,0,2,10,3.8,7.5
33,1,-21.5433,-18.73,-9.09667,1.00333,8.75667,15.3133,17.6133,15.1333,8.88,0.0866667,-10.1867,-18.8867,380.01017,0,0,0,0,0,0.187441,0.0749764,0.0374882,0.0749764,0,0,0,0,0,0,0,0,0,0,0,0,2,10,11.1,7.5
34,1,-21.5433,-18.73,-9.09667,1.00333,8.75667,15.3133,17.6133,15.1333,8.88,0.0866667,-10.1867,-18.8867,380.01017,0,0,0,0,0,0.187441,0.0749764,0.0374882,0.0749764,0,0,0,0,0,0,0,0,0,0,0,0,2,10,40.6,7.5
35,1,20.2867,22.6067,25.5433,27.9233,27.5733,26.9833,26.4967,26.2633,26.27,25.54,23.1133,20.2933,1265.98364,0,0,0,0,0,0.5569275,0.22277100000000002,0.11138550000000001,0.22277100000000002,0,0,0,0,0,0,0,0,0,0,0,0,2,10,2.5,7.5
36,1,20.2867,22.6067,25.5433,27.9233,27.5733,26.9833,26.4967,26.2633,26.27,25.54,23.1133,20.2933,1265.98364,0,0,0,0,0,0.22277100000000002,0.08910840000000002,0.04455420000000001,0.08910840000000002,0,0.23390955,0,0,0.10024695,0,0.23390955,0,0,0.10024695,0,0,2,10,4.7,7.5
37,1,25.58,25.8367,25.9933,26.73,26.7633,26.9033,26.5367,26.5133,26.2633,26.2267,26.0933,25.5567,1984.9943,0,0,0,0,0,0.20436900000000002,0.08174760000000002,0.04087380000000001,0.08174760000000002,0,0.21458744999999999,0,0,0.09196605,0,0.21458744999999999,0,0,0.09196605,0,0,2,10,7.1,7.5
38,1,25.58,25.8367,25.9933,26.73,26.7633,26.9033,26.5367,26.5133,26.2633,26.2267,26.0933,25.5567,1984.9943,0,0,0,0,0,0.20436900000000002,0.08174760000000002,0.04087380000000001,0.08174760000000002,0,0.21458744999999999,0,0,0.09196605,0,0.21458744999999999,0,0,0.09196605,0,0,2,10,8.3,7.5
39,1,25.4067,25.75,25.94,26.36,26.38,26.31,25.9633,25.8833,25.6967,25.5667,25.5367,25.2933,3022.0089999999996,0,0,0,0,0,0.26345300000000005,0.10538120000000004,0.05269060000000002,0.10538120000000004,0,0.27662565,0,0,0.11855385000000002,0,0.27662565,0,0,0.11855385000000002,0,0,2,10,5.7,7.5
40,1,25.0967,25.4733,25.83,26.1233,26.0933,25.8067,25.46,25.41,25.2233,25.13,25.0167,24.9733,2886.009,0,0,0,0,0,0.28771800000000003,0.11508720000000001,0.05754360000000001,0.11508720000000001,0,0.3021039,0,0,0.12947309999999998,0,0.3021039,0,0,0.12947309999999998,0,0,2,10,4,7.5
41,1,23.8033,24.1467,24.4433,24.9333,24.8867,24.69,24.4133,24.26,24.1,24.0233,23.84,23.7033,2813.0240000000003,0,0,0,0,0,0.29845700000000003,0.11938280000000003,0.05969140000000001,0.11938280000000003,0,0.31337985,0,0,0.13430565000000003,0,0.31337985,0,0,0.13430565000000003,0,0,2,10,8.2,7.5
42,1,23.9,24.0567,24.39,24.7633,24.96,24.88,24.5667,24.4933,24.3933,24.3333,24.1267,23.78,2739.0049999999997,0,0,0,0,0,0.28585700000000003,0.11434280000000002,0.05717140000000001,0.11434280000000002,0,0.30014985,0,0,0.12863565,0,0.30014985,0,0,0.12863565,0,0,2,10,10.2,7.5
43,1,-22.04,-19.13,-9.4,0.906667,8.81333,15.2,17.5733,15.13,8.8,-0.103333,-10.5933,-19.42,389.97992999999997,0,0,0,0,0,0.172679,0.0690716,0.0345358,0.0690716,0,0,0,0,0,0,0,0,0,0,0,0,2,10,11.8,7.5
44,1,-22.04,-19.13,-9.4,0.906667,8.81333,15.2,17.5733,15.13,8.8,-0.103333,-10.5933,-19.42,389.97992999999997,0,0,0,0,0,0.172679,0.0690716,0.0345358,0.0690716,0,0,0,0,0,0,0,0,0,0,0,0,2,10,12.3,7.5
45,1,-22.04,-19.13,-9.4,0.906667,8.81333,15.2,17.5733,15.13,8.8,-0.103333,-10.5933,-19.42,389.97992999999997,0,0,0,0,0,0.172679,0.0690716,0.0345358,0.0690716,0,0,0,0,0,0,0,0,0,0,0,0,2,10,29.8,7.5
46,1,24.6033,24.87,25.21,25.4967,25.7,25.39,25.1167,25.1,25.0233,24.8667,24.7367,24.5233,2332.999,0,0,0,0,0,0.24037800000000004,0.09615120000000003,0.04807560000000002,0.09615120000000003,0,0.25239690000000004,0,0,0.1081701,0,0.25239690000000004,0,0,0.1081701,0,0,2,10,13,7.5
47,1,18.4333,20.4933,22.9567,25.3233,25.66,25.49,24.9767,24.6833,24.6967,23.47,20.9133,18.26,1460.9833700000001,0,0,0,0,0,0.252817,0.10112680000000002,0.05056340000000001,0.10112680000000002,0,0.26545785,0,0,0.11376765,0,0.26545785,0,0,0.11376765,0,0,2,10,39.3,7.5
48,1,23.9,24.0567,24.39,24.7633,24.96,24.88,24.5667,24.4933,24.3933,24.3333,24.1267,23.78,2739.0049999999997,0,0,0,0,0,0.28585700000000003,0.11434280000000002,0.05717140000000001,0.11434280000000002,0,0.30014985,0,0,0.12863565,0,0.30014985,0,0,0.12863565,0,0,2,10,9.5,7.5
49,1,-24.9567,-22.1567,-11.9867,-1.37333,6.92667,14.2033,16.7667,13.87,7.39,-2.31,-13.63,-22.6433,379.0068,0,0,0,0,0,0.043579599999999996,0.017431840000000004,0.008715920000000002,0.017431840000000004,0,0.04575857999999999,0,0,0.01961082,0,0.04575857999999999,0,0,0.01961082,0,0,2,10,7,7.5
50,1,24.0433,26.3933,28.11,28.96,28.4133,27.6633,27.27,26.9633,26.7967,26.2567,24.98,23.3633,1563.95633,0,0,0,0,0,0.20725700000000002,0.08290280000000003,0.04145140000000001,0.08290280000000003,0,0.21761985,0,0,0.09326565,0,0.21761985,0,0,0.09326565,0,0,2,10,5,7.5
51,1,24.0433,26.3933,28.11,28.96,28.4133,27.6633,27.27,26.9633,26.7967,26.2567,24.98,23.3633,1563.95633,0,0,0,0,0,0.20725700000000002,0.08290280000000003,0.04145140000000001,0.08290280000000003,0,0.21761985,0,0,0.09326565,0,0.21761985,0,0,0.09326565,0,0,2,10,8.3,7.5
52,1,24.0433,26.3933,28.11,28.96,28.4133,27.6633,27.27,26.9633,26.7967,26.2567,24.98,23.3633,1563.95633,0,0,0,0,0,0.20725700000000002,0.08290280000000003,0.04145140000000001,0.08290280000000003,0,0.21761985,0,0,0.09326565,0,0.21761985,0,0,0.09326565,0,0,2,10,8.1,7.5
53,1,24.0433,26.3933,28.11,28.96,28.4133,27.6633,27.27,26.9633,26.7967,26.2567,24.98,23.3633,1563.95633,0,0,0,0,0,0.20725700000000002,0.08290280000000003,0.04145140000000001,0.08290280000000003,0,0.21761985,0,0,0.09326565,0,0.21761985,0,0,0.09326565,0,0,2,10,9.2,7.5
54,1,24.0433,26.3933,28.11,28.96,28.4133,27.6633,27.27,26.9633,26.7967,26.2567,24.98,23.3633,1563.95633,0,0,0,0,0,0.20725700000000002,0.08290280000000003,0.04145140000000001,0.08290280000000003,0,0.21761985,0,0,0.09326565,0,0.21761985,0,0,0.09326565,0,0,2,10,3.5,7.5
55,1,24.0433,26.3933,28.11,28.96,28.4133,27.6633,27.27,26.9633,26.7967,26.2567,24.98,23.3633,1563.95633,0,0,0,0,0,0.20725700000000002,0.08290280000000003,0.04145140000000001,0.08290280000000003,0,0.21761985,0,0,0.09326565,0,0.21761985,0,0,0.09326565,0,0,2,10,3.8,7.5
56,1,24.0433,26.3933,28.11,28.96,28.4133,27.6633,27.27,26.9633,26.7967,26.2567,24.98,23.3633,1563.95633,0,0,0,0,0,0.20725700000000002,0.08290280000000003,0.04145140000000001,0.08290280000000003,0,0.21761985,0,0,0.09326565,0,0.21761985,0,0,0.09326565,0,0,2,10,8.3,7.5
57,1,24.0433,26.3933,28.11,28.96,28.4133,27.6633,27.27,26.9633,26.7967,26.2567,24.98,23.3633,1563.95633,0,0,0,0,0,0.20725700000000002,0.08290280000000003,0.04145140000000001,0.08290280000000003,0,0.21761985,0,0,0.09326565,0,0.21761985,0,0,0.09326565,0,0,2,10,9.5,7.5
58,1,24.0433,26.3933,28.11,28.96,28.4133,27.6633,27.27,26.9633,26.7967,26.2567,24.98,23.3633,1563.95633,0,0,0,0,0,0.20725700000000002,0.08290280000000003,0.04145140000000001,0.08290280000000003,0,0.21761985,0,0,0.09326565,0,0.21761985,0,0,0.09326565,0,0,2,10,2.9,7.5
