period,time,T_01,T_02,T_03,T_04,T_05,T_06,T_07,T_08,T_09,T_10,T_11,T_12,prec,A_init,W_init,E_init,N_init,H_init,A_in,W_in,E_in,N_in,H_in,size,c_obs,c_unc
1,0.99,0.3,2.7,3.8,7.4,11.7,14.9,18.3,17.4,13.5,8.1,3.5,1.1,2291,275.92,481.58,82.34,160.12,0,0,0,0,0,0,0,707.9625000000001,200
1,1.99,0.3,2.7,3.8,7.4,11.7,14.9,18.3,17.4,13.5,8.1,3.5,1.1,2291,275.92,481.58,82.34,160.12,0,0,0,0,0,0,0,534.535,200
1,3.01,0.3,2.7,3.8,7.4,11.7,14.9,18.3,17.4,13.5,8.1,3.5,1.1,2291,275.92,481.58,82.34,160.12,0,0,0,0,0,0,0,418.48,200
1,4.02,0.3,2.7,3.8,7.4,11.7,14.9,18.3,17.4,13.5,8.1,3.5,1.1,2291,275.92,481.58,82.34,160.12,0,0,0,0,0,0,0,352.005,200
1,5.02,0.3,2.7,3.8,7.4,11.7,14.9,18.3,17.4,13.5,8.1,3.5,1.1,2291,275.92,481.58,82.34,160.12,0,0,0,0,0,0,0,365.77750000000003,200
1,6.01,0.3,2.7,3.8,7.4,11.7,14.9,18.3,17.4,13.5,8.1,3.5,1.1,2291,275.92,481.58,82.34,160.12,0,0,0,0,0,0,0,261.8625,200
1,7,0.3,2.7,3.8,7.4,11.7,14.9,18.3,17.4,13.5,8.1,3.5,1.1,2291,275.92,481.58,82.34,160.12,0,0,0,0,0,0,0,300.9575,200
1,8.04,0.3,2.7,3.8,7.4,11.7,14.9,18.3,17.4,13.5,8.1,3.5,1.1,2291,275.92,481.58,82.34,160.12,0,0,0,0,0,0,0,202.56333333333333,200
1,9,0.3,2.7,3.8,7.4,11.7,14.9,18.3,17.4,13.5,8.1,3.5,1.1,2291,275.92,481.58,82.34,160.12,0,0,0,0,0,0,0,211.72000000000003,200
1,10.03,0.3,2.7,3.8,7.4,11.7,14.9,18.3,17.4,13.5,8.1,3.5,1.1,2291,275.92,481.58,82.34,160.12,0,0,0,0,0,0,0,199.795,200
2,0.99,0.3,2.7,3.8,7.4,11.7,14.9,18.3,17.4,13.5,8.1,3.5,1.1,2291,275.92,481.58,82.34,160.12,0,0,0,0,0,0,0,676.4225,200
2,1.99,0.3,2.7,3.8,7.4,11.7,14.9,18.3,17.4,13.5,8.1,3.5,1.1,2291,275.92,481.58,82.34,160.12,0,0,0,0,0,0,0,657.96,200
3,0.99,0.3,2.7,3.8,7.4,11.7,14.9,18.3,17.4,13.5,8.1,3.5,1.1,2291,691.325,139.7875,59.75,109.1125,0,0,0,0,0,0,0,723.2350000000001,200
3,1.99,0.3,2.7,3.8,7.4,11.7,14.9,18.3,17.4,13.5,8.1,3.5,1.1,2291,691.325,139.7875,59.75,109.1125,0,0,0,0,0,0,0,460.67500000000007,200
3,3.01,0.3,2.7,3.8,7.4,11.7,14.9,18.3,17.4,13.5,8.1,3.5,1.1,2291,691.325,139.7875,59.75,109.1125,0,0,0,0,0,0,0,477.19500000000005,200
3,4.02,0.3,2.7,3.8,7.4,11.7,14.9,18.3,17.4,13.5,8.1,3.5,1.1,2291,691.325,139.7875,59.75,109.1125,0,0,0,0,0,0,0,404.00749999999994,200
3,5.02,0.3,2.7,3.8,7.4,11.7,14.9,18.3,17.4,13.5,8.1,3.5,1.1,2291,691.325,139.7875,59.75,109.1125,0,0,0,0,0,0,0,272.6425,200
3,6.01,0.3,2.7,3.8,7.4,11.7,14.9,18.3,17.4,13.5,8.1,3.5,1.1,2291,691.325,139.7875,59.75,109.1125,0,0,0,0,0,0,0,261.5825,200
3,7,0.3,2.7,3.8,7.4,11.7,14.9,18.3,17.4,13.5,8.1,3.5,1.1,2291,691.325,139.7875,59.75,109.1125,0,0,0,0,0,0,0,249.04000000000002,200
3,8.04,0.3,2.7,3.8,7.4,11.7,14.9,18.3,17.4,13.5,8.1,3.5,1.1,2291,691.325,139.7875,59.75,109.1125,0,0,0,0,0,0,0,189.485,200
3,9,0.3,2.7,3.8,7.4,11.7,14.9,18.3,17.4,13.5,8.1,3.5,1.1,2291,691.325,139.7875,59.75,109.1125,0,0,0,0,0,0,0,225.99750000000003,200
