obs,time,T_01,T_02,T_03,T_04,T_05,T_06,T_07,T_08,T_09,T_10,T_11,T_12,prec,A_init,W_init,E_init,N_init,H_init,A_in,W_in,E_in,N_in,H_in,size,c_obs,c_unc
4,12,-9.6,-8.6,-3.2,3.3,10.3,14.8,17.1,15.4,10.4,4.9,-0.8,-6.2,616,680,10,10,300,0,0,0,0,0,0,12.5,550,250
5,12,-9.6,-8.6,-3.2,3.3,10.3,14.8,17.1,15.4,10.4,4.9,-0.8,-6.2,616,680,10,10,300,0,0,0,0,0,0,12.5,830,250
6,22,-9.6,-8.6,-3.2,3.3,10.3,14.8,17.1,15.4,10.4,4.9,-0.8,-6.2,616,680,10,10,300,0,0,0,0,0,0,12.5,240,250
7,22,-9.6,-8.6,-3.2,3.3,10.3,14.8,17.1,15.4,10.4,4.9,-0.8,-6.2,616,680,10,10,300,0,0,0,0,0,0,12.5,290,250
8,24,-9.6,-8.6,-3.2,3.3,10.3,14.8,17.1,15.4,10.4,4.9,-0.8,-6.2,616,680,10,10,300,0,0,0,0,0,0,12.5,240,250
9,24,-9.6,-8.6,-3.2,3.3,10.3,14.8,17.1,15.4,10.4,4.9,-0.8,-6.2,616,680,10,10,300,0,0,0,0,0,0,12.5,250,250
10,24,-9.6,-8.6,-3.2,3.3,10.3,14.8,17.1,15.4,10.4,4.9,-0.8,-6.2,616,680,10,10,300,0,0,0,0,0,0,12.5,300,250
11,27,-9.6,-8.6,-3.2,3.3,10.3,14.8,17.1,15.4,10.4,4.9,-0.8,-6.2,616,680,10,10,300,0,0,0,0,0,0,12.5,160,250
12,27,-9.6,-8.6,-3.2,3.3,10.3,14.8,17.1,15.4,10.4,4.9,-0.8,-6.2,616,680,10,10,300,0,0,0,0,0,0,12.5,160,250
13,28,-9.6,-8.6,-3.2,3.3,10.3,14.8,17.1,15.4,10.4,4.9,-0.8,-6.2,616,680,10,10,300,0,0,0,0,0,0,12.5,130,250
14,32,-9.6,-8.6,-3.2,3.3,10.3,14.8,17.1,15.4,10.4,4.9,-0.8,-6.2,616,680,10,10,300,0,0,0,0,0,0,12.5,130,250
15,32,-9.6,-8.6,-3.2,3.3,10.3,14.8,17.1,15.4,10.4,4.9,-0.8,-6.2,616,680,10,10,300,0,0,0,0,0,0,12.5,160,250
16,32,-9.6,-8.6,-3.2,3.3,10.3,14.8,17.1,15.4,10.4,4.9,-0.8,-6.2,616,680,10,10,300,0,0,0,0,0,0,12.5,210,250
17,32,-9.6,-8.6,-3.2,3.3,10.3,14.8,17.1,15.4,10.4,4.9,-0.8,-6.2,616,680,10,10,300,0,0,0,0,0,0,12.5,260,250
18,34,-9.6,-8.6,-3.2,3.3,10.3,14.8,17.1,15.4,10.4,4.9,-0.8,-6.2,616,680,10,10,300,0,0,0,0,0,0,12.5,180,250
19,35,-9.6,-8.6,-3.2,3.3,10.3,14.8,17.1,15.4,10.4,4.9,-0.8,-6.2,616,680,10,10,300,0,0,0,0,0,0,12.5,160,250
20,36,-9.6,-8.6,-3.2,3.3,10.3,14.8,17.1,15.4,10.4,4.9,-0.8,-6.2,616,680,10,10,300,0,0,0,0,0,0,12.5,110,250
21,37,-9.6,-8.6,-3.2,3.3,10.3,14.8,17.1,15.4,10.4,4.9,-0.8,-6.2,616,680,10,10,300,0,0,0,0,0,0,12.5,160,250
22,39,-9.6,-8.6,-3.2,3.3,10.3,14.8,17.1,15.4,10.4,4.9,-0.8,-6.2,616,680,10,10,300,0,0,0,0,0,0,12.5,130,250
23,42,-9.6,-8.6,-3.2,3.3,10.3,14.8,17.1,15.4,10.4,4.9,-0.8,-6.2,616,680,10,10,300,0,0,0,0,0,0,12.5,210,250
24,42,-9.6,-8.6,-3.2,3.3,10.3,14.8,17.1,15.4,10.4,4.9,-0.8,-6.2,616,680,10,10,300,0,0,0,0,0,0,12.5,210,250
25,45,-9.6,-8.6,-3.2,3.3,10.3,14.8,17.1,15.4,10.4,4.9,-0.8,-6.2,616,680,10,10,300,0,0,0,0,0,0,12.5,110,250
29,7,-9.6,-8.6,-3.2,3.3,10.3,14.8,17.1,15.4,10.4,4.9,-0.8,-6.2,616,680,10,10,300,0,0,0,0,0,0,30,990,250
