name,value,low,high
scIcept,11.08,5,20
scSlope,0.2613,0.1,0.4
scBD,1.15,0.8,1.6
sorpC1,0.297,0.1,0.5
sorpC2,3.355,2.0,5.0
Nmax,3,1,5
Nmid,1.75,0.5,2.5
LCImax,0.51,0.1,0.9
k1,0.37,0.16,0.7
k2,0.009,0.0011,0.02
k4,0.57,0.11,0.97
EHmax,0.15,0.01,0.75
EHmin,0.005,0.0001,0.1
ESmax,0.15,0.01,0.75
ESmin,0.005,0.0001,0.1
la2,0.19,0.022,0.42
la3,0.038,0.014,0.05
B1,0.6,0.4,0.7
B2,0.5,0.3,0.6
B3,0.33,0.028,0.79
fdoc,0.15,0.05,0.3
dlch,0.0088,0.002,0.02
k8,0.00144,0.0001,0.01
k9,0.000022,0.00001,0.00004
k10,0.000296,0.0001,0.004
tmod_ActivationE,38.9,35,45
tmod_alpha,1.1E7,5.E6,1.5E7
DOCfrg,0.8,0.2,0.99
LITfrg,0.006,0.0001,0.02
Trange,24,10,30
